gene,mean_expression,variance
mt-Co3,6.180844,0.15877098
mt-Co1,6.0886045,0.17331947
mt-Atp6,5.875233,0.16347471
mt-Cytb,5.620923,0.1300394
mt-Co2,5.3795304,0.2504946
mt-Nd4,5.1290984,0.21676368
Fth1,5.117993,0.25484008
mt-Nd2,4.9962087,0.21377212
mt-Nd1,4.849736,0.20549063
Cst3,4.5649796,0.16901456
Gapdh,4.5551476,0.06429233
Ppia,4.328719,0.06521918
Tmsb4x,4.2803497,0.23933993
Rpl41,4.198147,0.06714144
Ubb,4.1708207,0.08404636
Mbp,4.128189,1.0182174
Cpe,4.0418935,0.12495086
Cox6c,4.0124826,0.10118005
Mt1,4.004715,0.25088543
Cox8a,3.9968243,0.11968604
