gene,mean_expression,variance
Plp1,2.8531058,1.6396244
Nrgn,2.7225516,1.3096886
Mobp,2.1771677,1.2942185
Ttr,3.2397106,1.2771373
Mbp,3.5855193,1.2317098
Trf,1.5379518,1.0162666
Apod,1.4182981,0.9929375
Hbb-bs,0.84840816,0.9595573
Pcp4,2.090537,0.95946723
Mal,1.3196497,0.92419827
Cck,2.1965714,0.92000914
Ddn,1.5369691,0.917869
Cldn11,1.2036221,0.8976602
Sparc,1.8576139,0.891162
Ptgds,2.8772259,0.88325596
Slc17a7,1.8118993,0.87720376
Enpp2,1.5554367,0.8743113
Cnp,1.4996108,0.8519552
Sst,1.1860217,0.837374
Nnat,1.4094535,0.8335406
