gene,mean_expression,variance
mt-Co3,6.1546316,0.048425466
mt-Co1,6.112508,0.060885653
Bc1,6.0426345,0.28227448
mt-Atp6,6.0135875,0.053815223
mt-Co2,5.8047915,0.06511725
mt-Cytb,5.515103,0.04643373
mt-Nd4,5.4554915,0.062991135
mt-Nd1,5.2125244,0.0614125
mt-Nd2,5.1783304,0.069816895
Fth1,4.445087,0.35827634
mt-Nd3,4.0929294,0.072153874
Cst3,4.058409,0.1198858
Gapdh,3.7997777,0.056745343
Rpl41,3.7650971,0.06270434
Apoe,3.7312016,0.2024115
Rps21,3.6679025,0.062407263
Rplp1,3.6167746,0.06467375
Cpe,3.609063,0.1148556
Mbp,3.5855193,1.2317098
Rps29,3.557315,0.08261814
